"lang_id","code","name","percent","official"
580,"NAM","Kavango",8.5,FALSE
581,"NAM","Caprivi",4.8,FALSE
582,"NAM","English",3.4,TRUE
583,"NAM","Other",2.3,FALSE
584,"NAM","Other",1.7,FALSE
585,"NRU","Nauruan",93,TRUE
586,"NRU","English",2,FALSE
587,"NRU","Other",5,FALSE
588,"NPL","Nepali",44.6,TRUE
589,"NPL","Maithali",11.7,FALSE
590,"NPL","Bhojpuri",6,FALSE
591,"NPL","Tharu",5.8,FALSE
592,"NPL","Tamang",5.1,FALSE
593,"NPL","Newar",3.2,FALSE
594,"NPL","Magar",3,FALSE
595,"NPL","Bajjika",3,FALSE
596,"NPL","Urdu",2.6,FALSE
597,"NPL","Avadhi",1.9,FALSE
598,"NPL","Limbu",1.3,FALSE
599,"NPL","Gurung",1.2,FALSE
600,"NPL","Other",10.4,FALSE
601,"NPL","unspecified",0.2,FALSE
602,"NLD","Dutch",,TRUE
603,"NCL","French",,TRUE
604,"NCL","Other",,FALSE
605,"NZL","English",89.8,TRUE
606,"NZL","Maori",3.5,TRUE
607,"NZL","Samoan",2,FALSE
608,"NZL","Hindi",1.6,FALSE
609,"NZL","French",1.2,FALSE
610,"NZL","Northern Chinese",1.2,FALSE
611,"NZL","Yue",1,FALSE
612,"NZL","Other",20.5,FALSE
613,"NZL","New Zealand Sign",,TRUE
614,"NIC","Spanish",95.3,TRUE
615,"NIC","Miskito",2.2,FALSE
616,"NIC","Mestizo",2,FALSE
617,"NIC","Other",0.5,FALSE
618,"NER","French",,TRUE
619,"NER","Hausa",,FALSE
620,"NER","Djerma",,FALSE
621,"NGA","English",,TRUE
622,"NGA","Hausa",,FALSE
623,"NGA","Yoruba",,FALSE
624,"NGA","Igbo",,FALSE
625,"NGA","Fulani",,FALSE
626,"NGA","Other",,FALSE
627,"NIU","Niuean",46,TRUE
628,"NIU","Niuean",32,FALSE
629,"NIU","English",11,TRUE
630,"NIU","Niuean",5,FALSE
631,"NIU","Other",6,FALSE
632,"NFK","English",67.6,TRUE
633,"NFK","Other",32.4,FALSE
634,"MNP","Philippine",32.8,FALSE
635,"MNP","Chamorro",24.1,TRUE
636,"MNP","English",17,TRUE
637,"MNP","Other Pacific Island",10.1,FALSE
638,"MNP","Chinese",6.8,FALSE
639,"MNP","Other Asian",7.3,FALSE
640,"MNP","Other",1.9,FALSE
